AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
ap-southeast-2a,m5.4xlarge,Red Hat Enterprise Linux (Amazon VPC),0.4251,2019-12-31
ap-southeast-2a,m5.4xlarge,SUSE Linux (Amazon VPC),0.3951,2019-12-31
ap-southeast-2a,m5.4xlarge,Linux/UNIX (Amazon VPC),0.2951,2019-12-31
ap-southeast-2b,c1.medium,Windows (Amazon VPC),0.131,2019-12-31
ap-southeast-2a,r4.large,Red Hat Enterprise Linux (Amazon VPC),0.0976,2019-12-31
ap-southeast-2a,r4.large,SUSE Linux (Amazon VPC),0.1376,2019-12-31
ap-southeast-2a,r4.large,Linux/UNIX (Amazon VPC),0.0376,2019-12-31
ap-southeast-2c,t3.large,Red Hat Enterprise Linux (Amazon VPC),0.0942,2019-12-31
ap-southeast-2c,t3.large,SUSE Linux (Amazon VPC),0.1342,2019-12-31
ap-southeast-2c,t3.large,Linux/UNIX (Amazon VPC),0.0342,2019-12-31
ap-southeast-2b,m5.4xlarge,Red Hat Enterprise Linux (Amazon VPC),0.4241,2019-12-31
ap-southeast-2b,m5.4xlarge,SUSE Linux (Amazon VPC),0.3941,2019-12-31
ap-southeast-2b,m5.4xlarge,Linux/UNIX (Amazon VPC),0.2941,2019-12-31
ap-southeast-2c,m3.medium,Red Hat Enterprise Linux (Amazon VPC),0.0755,2019-12-31
ap-southeast-2c,m3.medium,SUSE Linux (Amazon VPC),0.1155,2019-12-31
ap-southeast-2c,m3.medium,Linux/UNIX (Amazon VPC),0.0155,2019-12-31
ap-southeast-2b,c3.2xlarge,Red Hat Enterprise Linux (Amazon VPC),0.2768,2019-12-31
ap-southeast-2b,c3.2xlarge,SUSE Linux (Amazon VPC),0.2468,2019-12-31
ap-southeast-2b,c3.2xlarge,Linux/UNIX (Amazon VPC),0.1468,2019-12-31
ap-southeast-2c,m4.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.1298,2019-12-31
ap-southeast-2c,m4.xlarge,SUSE Linux (Amazon VPC),0.1698,2019-12-31
ap-southeast-2c,m4.xlarge,Linux/UNIX (Amazon VPC),0.0698,2019-12-31
ap-southeast-2c,m5.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.1336,2019-12-31
ap-southeast-2c,m5.xlarge,SUSE Linux (Amazon VPC),0.1736,2019-12-31
ap-southeast-2c,m5.xlarge,Linux/UNIX (Amazon VPC),0.0736,2019-12-31
ap-southeast-2a,r3.4xlarge,Red Hat Enterprise Linux (Amazon VPC),0.4224,2019-12-31
ap-southeast-2a,r3.4xlarge,SUSE Linux (Amazon VPC),0.3924,2019-12-31
ap-southeast-2a,r3.4xlarge,Linux/UNIX (Amazon VPC),0.2924,2019-12-31
ap-southeast-2b,i3en.large,Red Hat Enterprise Linux (Amazon VPC),0.1413,2019-12-31
ap-southeast-2c,i3en.large,Red Hat Enterprise Linux (Amazon VPC),0.1413,2019-12-31
ap-southeast-2a,i3en.large,Red Hat Enterprise Linux (Amazon VPC),0.1413,2019-12-31
ap-southeast-2b,i3en.large,SUSE Linux (Amazon VPC),0.1813,2019-12-31
ap-southeast-2c,i3en.large,SUSE Linux (Amazon VPC),0.1813,2019-12-31
ap-southeast-2a,i3en.large,SUSE Linux (Amazon VPC),0.1813,2019-12-31
ap-southeast-2b,i3en.large,Linux/UNIX (Amazon VPC),0.0813,2019-12-31
ap-southeast-2c,i3en.large,Linux/UNIX (Amazon VPC),0.0813,2019-12-31
ap-southeast-2a,i3en.large,Linux/UNIX (Amazon VPC),0.0813,2019-12-31
ap-southeast-2b,r5d.xlarge,Windows (Amazon VPC),0.2598,2019-12-31
ap-southeast-2c,r5d.xlarge,Windows (Amazon VPC),0.2598,2019-12-31
ap-southeast-2a,r5d.xlarge,Windows (Amazon VPC),0.2598,2019-12-31
ap-southeast-2b,i3en.large,Windows (Amazon VPC),0.1733,2019-12-31
ap-southeast-2c,i3en.large,Windows (Amazon VPC),0.1733,2019-12-31
ap-southeast-2a,i3en.large,Windows (Amazon VPC),0.1733,2019-12-31
ap-southeast-2b,r5d.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.1358,2019-12-31
ap-southeast-2c,r5d.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.1358,2019-12-31
ap-southeast-2a,r5d.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.1358,2019-12-31
ap-southeast-2b,r5d.xlarge,SUSE Linux (Amazon VPC),0.1758,2019-12-31
ap-southeast-2c,r5d.xlarge,SUSE Linux (Amazon VPC),0.1758,2019-12-31
ap-southeast-2a,r5d.xlarge,SUSE Linux (Amazon VPC),0.1758,2019-12-31
ap-southeast-2b,r5d.xlarge,Linux/UNIX (Amazon VPC),0.0758,2019-12-31
ap-southeast-2c,r5d.xlarge,Linux/UNIX (Amazon VPC),0.0758,2019-12-31
ap-southeast-2a,r5d.xlarge,Linux/UNIX (Amazon VPC),0.0758,2019-12-31
ap-southeast-2b,r5.large,Red Hat Enterprise Linux (Amazon VPC),0.0987,2019-12-31
ap-southeast-2b,r5.large,SUSE Linux (Amazon VPC),0.1387,2019-12-31
ap-southeast-2b,r5.large,Linux/UNIX (Amazon VPC),0.0387,2019-12-31
ap-southeast-2b,z1d.metal,Red Hat Enterprise Linux (Amazon VPC),1.7572,2019-12-31
ap-southeast-2c,z1d.metal,Red Hat Enterprise Linux (Amazon VPC),1.7572,2019-12-31
ap-southeast-2a,z1d.metal,Red Hat Enterprise Linux (Amazon VPC),1.7572,2019-12-31
ap-southeast-2b,z1d.metal,SUSE Linux (Amazon VPC),1.7272,2019-12-31
ap-southeast-2c,z1d.metal,SUSE Linux (Amazon VPC),1.7272,2019-12-31
ap-southeast-2a,z1d.metal,SUSE Linux (Amazon VPC),1.7272,2019-12-31
ap-southeast-2b,z1d.metal,Linux/UNIX (Amazon VPC),1.6272,2019-12-31
ap-southeast-2c,z1d.metal,Linux/UNIX (Amazon VPC),1.6272,2019-12-31
ap-southeast-2a,z1d.metal,Linux/UNIX (Amazon VPC),1.6272,2019-12-31
ap-southeast-2b,z1d.metal,Windows (Amazon VPC),3.8352,2019-12-31
ap-southeast-2c,z1d.metal,Windows (Amazon VPC),3.8352,2019-12-31
ap-southeast-2a,z1d.metal,Windows (Amazon VPC),3.8352,2019-12-31
ap-southeast-2b,r5.12xlarge,Red Hat Enterprise Linux (Amazon VPC),1.0396,2019-12-31
ap-southeast-2c,r5.12xlarge,Red Hat Enterprise Linux (Amazon VPC),1.0396,2019-12-31
ap-southeast-2a,r5.12xlarge,Red Hat Enterprise Linux (Amazon VPC),1.0396,2019-12-31
ap-southeast-2b,r5.12xlarge,SUSE Linux (Amazon VPC),1.0096,2019-12-31
ap-southeast-2c,r5.12xlarge,SUSE Linux (Amazon VPC),1.0096,2019-12-31
ap-southeast-2a,r5.12xlarge,SUSE Linux (Amazon VPC),1.0096,2019-12-31
ap-southeast-2b,r5.12xlarge,Linux/UNIX (Amazon VPC),0.9096,2019-12-31
ap-southeast-2c,r5.12xlarge,Linux/UNIX (Amazon VPC),0.9096,2019-12-31
